City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Borzya,RU,50.3833,116.5167,36.0,85,7,10.31,clear sky
80,Kaitangata,NZ,-46.2817,169.8464,33.22,90,22,5.26,few clouds
81,Fortuna,US,40.5982,-124.1573,64.92,71,40,3.0,scattered clouds
82,Phan Thiet,VN,10.9333,108.1,76.93,91,56,4.76,broken clouds
83,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,21,0,11.5,clear sky
84,Cam Ranh,VN,11.9214,109.1591,78.76,89,40,3.44,scattered clouds
85,Kodiak,US,57.79,-152.4072,44.11,70,1,9.22,clear sky
86,Marica,BR,-22.9194,-42.8186,78.96,75,95,7.87,overcast clouds
87,Nuevo Ideal,MX,24.8875,-105.0728,73.18,47,100,3.65,overcast clouds
88,Port Hedland,AU,-20.3167,118.5667,64.45,82,6,8.05,clear sky
89,Nemuro,JP,43.3236,145.575,56.57,85,31,10.74,scattered clouds
90,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,84,100,5.35,overcast clouds
91,Mengcheng,CN,33.2579,116.5655,67.71,95,100,8.39,light rain
92,Troitskoye,RU,52.9821,84.6757,33.89,78,100,6.17,overcast clouds
93,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,1,4.61,clear sky
94,Liure,HN,13.5358,-87.0919,87.62,55,87,4.25,overcast clouds
95,Cabatuan,PH,10.8794,122.486,75.83,90,67,1.16,broken clouds
96,Kamina,CD,-8.7386,24.9906,73.67,42,91,4.54,overcast clouds
97,Peniche,PT,39.3558,-9.3811,71.08,90,99,6.76,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,0,19.57,clear sky
99,Port Macquarie,AU,-31.4333,152.9167,53.89,63,90,3.18,overcast clouds
100,Usinsk,RU,65.9939,57.5281,36.99,68,100,6.96,overcast clouds
101,Faanui,PF,-16.4833,-151.75,79.48,76,15,14.29,few clouds
102,College,US,64.8569,-147.8028,31.59,92,75,4.61,mist
103,Isangel,VU,-19.55,169.2667,69.91,78,20,3.44,few clouds
104,Dicabisagan,PH,17.0818,122.4157,78.96,88,100,6.64,overcast clouds
105,Guerrero Negro,MX,27.9769,-114.0611,75.15,60,6,15.12,clear sky
106,Vao,NC,-22.6667,167.4833,67.64,67,100,3.91,overcast clouds
107,Victoria,HK,22.2855,114.1577,84.33,79,8,1.01,light rain
108,Namie,JP,37.4833,141.0,59.54,79,28,0.56,scattered clouds
109,East London,ZA,-33.0153,27.9116,67.14,82,75,8.05,broken clouds
